content,date,index,writer
"내밥그릇내가해 제가 생질은 안들어봐서 잘모르겠는데, 그래도 개념 2배속으로 해서라도 듣는걸 추천드립니다.중간중간 말해주시는 행동사항들(?) 이 도움이되서 ㅎㅎ ",2018.07.29. 16:41,20144472,Nlk0012
 두분 다 괜찮은 선생님 입니다.맛보기 들어보고 결정하세요.인강은 다른 사람이 듣는다고 따라 듣는게 아닙니다 ,2018.07.25. 00:33,20141042,19학번 갓
 무릎 16번 치고갑니다 ,2018.07.25. 00:35,20141042,물리1 전도사
 그렇겠네요!! 김성은t 저한테 잘맞다 생각중이었는데 주변에 다들 한석원 듣길래 흔들렸네요 감사합니다 ,2018.07.25. 00:39,20141042,인서울씹가능인가연
 ㅎㅌㅇㄱㅅㅇ ,2018.07.25. 00:42,20141042,아으아으아으을
 ㅎㅌㅇㄱㅅㅇ 갓갓 ,2018.07.25. 08:53,20141042,대학교프리패스
 문해전 푸는데 괜찮은거같아요 ,2018.07.26. 23:17,20139792,한체대가고픔
 준킬러는 어떻게 순삭하나요ㅠㅠ ,2018.07.28. 21:23,20139792,옷아랑
 글보니까 가형이신것같아서 제가 감히 말씀드리기가...좀 그렇네요 ,2018.08.01. 14:05,20139792,Just one
Just one 문제집추천해주세요ㅠㅠ ,2018.08.01. 18:04,20139792,옷아랑
옷아랑 전 기출문제집은 너기출로 했고 고쟁이도 풀었어요그리고 이번 수특 확통은 꼭 풀어보세요 ,2018.08.01. 18:28,20139792,Just one
Just one 감사해요ㅠㅠ ,2018.08.01. 23:35,20139792,옷아랑
" 한석원T 생각의 질서 다음에 알파테크닉도 있으니까 어렵지 않은 편이라고 생각됩니다. 다만 제가 수샘을 안 풀어봐서 정확히는 말씀 드리겠고, 2년 전에 풀어본거라.. 제 기억 상 수학의 정석 기본편 정도의 수준 혹은 그 이하였던것 같아요. 시간이 오래 걸리는건 아직 익숙치 않아서 그러실 수도 있어요. 화이팅! ",2018.07.21. 19:41,20126384,지똥22
 국어 1타 선생님 이름을 왜..? ,2018.07.16. 01:23,20106352,지나가던낭자
 존이 왜 없나요 ,2018.07.16. 01:25,20106352,샤대19그라샤
 로벤=한석원 ,2018.07.16. 01:53,20106352,나만불편한긔 응너만
 생질 ㄴㄴ 생질은 노베가 들어야하고 알텍들으에요 ,2018.07.15. 22:23,20105040,내밥그릇내가해
 저 가형4-5 인데 석원씨 듣는중 ,2018.07.14. 23:48,20101933,19고대이과
 아예쌩노베 정승제듣는데 0.8배속으로하면이해잘됩니다 ,2018.07.14. 23:50,20101933,종로도서관
 삭제된 댓글입니다. ,,20101925,
 김성은은 패스없어요.. ,2018.07.14. 23:43,20101925,미적뿐
 가능여 쪽지주세여 ,2018.07.15. 13:11,20096145,수의이
 빡모 = 풀다가 빡빡이되는모의고사전 좋았어요 근데 먼가 가형기준 확통문제가 준킬러로 좀 많았던듯 ,2018.07.10. 23:19,20088805,교대보내줘ㅠ
 좋아용 ,2018.07.10. 23:19,20088805,대문짝
 1. 3등급이하2. 생질에 나오는 거 알면됨3. 1~3등급4. 개인차 ,2018.07.10. 23:03,20088654,Agency2
 1은 사실상 개념서고2가 3등급이하3은 1~3 으로 보면 되나요? ,2018.07.10. 23:19,20088654,19한양대공대
19한양대공대 네 맞아요 ㅋㅋ 2에서도 개념해서 아예 노베만 아니시라면 바로 2가시는게.. ,2018.07.10. 23:23,20088654,Agency2
 1. 모든학생2. 3이하3.1등급4. 만점받으려는 자 ,2018.07.10. 23:44,20088654,한체대가고픔
 되도록 한 선생님 커리만 타세요 ,2018.07.08. 23:54,20082449,고정검무신
 그래야 될 것 같네요 ,2018.07.15. 21:14,20082449,고경190403
" 전 한석원샘 생질,알텍 다 있는데 개념서 또 있어요 보충용으로 ",2018.07.08. 23:30,20082076,히도라
 아그렇군요..후기보니까 생질듣고 바로 알텍은 무리라고해서 생질듣고 다른문제집 하나풀려고 하는데 혹시 추천하는거 있으신가요??? ,2018.07.08. 23:50,20082076,꿈풀
 2학기 플래너는 패스 구매 이후 첫 교재 배송시 함께 옵니다. 즉 교재 시키셔야 와용! ,2018.07.08. 22:38,20082041,skywithstar
 수강 신청은 홈페이지에 잘 나와있는데 일단 한석원쌤 강의 구매 누르시면 옆에 PASS/PAC 구매자는 누르는 칸이 있어요요즘은 거의 자동으로 그게 선택되더라구요..! ,2018.07.08. 22:40,20082041,skywithstar
skywithstar 아하그렇군요!!정말감사합니당 ,2018.07.08. 22:43,20082041,꿈풀
 6평  해설강의같은거들어보면서 결정하셈 ,2018.07.08. 18:06,20080952,연세산공19
 스킬 못써서 막히는 문제는 없는데요?.스킬 쓰다가 막히는 문제는 있어도 ,2018.07.08. 14:35,20080297,옼케이
 그렇군요 감사합니다앙 ,2018.07.08. 14:36,20080297,꿈풀
 개념으로도 충분히 풀립니다 미적분은...그치만 기벡은 또 다른거같아서 뉴런들었는데 만족했어요 ,2018.07.08. 14:45,20080297,연대 가즈아ㅏ
 ....ㅠ그럼 현우진을 들어야하나..방금전까지만해도 아몰라다됬고한석원!!!했는데 전체적으론 뉴런이 더낫다...고하셔서 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ ,2018.07.08. 14:56,20080297,꿈풀
 들어보고 맞는게 최고임 그리고 정석이 최고의 스킬일 수 있어요 ,2018.07.08. 15:01,20080297,꽃과콜라
 꽃과콜라님감사합니다 ,2018.07.08. 21:45,20080297,꿈풀
 안광지배철.한석원! ,2018.07.08. 13:31,20080129,아그네시아
 현우진 ,2018.07.08. 13:44,20080129,아기고앵이
 일관된 풀이 선호:한석원다양한 풀이 선호:현우진 ,2018.07.08. 14:26,20080129,풍화격
 읍읍읍으로 들으세요 ,2018.07.07. 20:07,20077623,안녀영하세영
 그게뭔소리죠 ,2018.07.07. 20:09,20077623,꿈풀
 이건 딱 한석원인듯 ,2018.07.07. 20:09,20077623,흫헤
 오 감사합니다 ,2018.07.07. 20:10,20077623,꿈풀
 한석원이요 ,2018.07.07. 20:10,20077623,파파파파파피
 감사합니다!! ,2018.07.07. 20:10,20077623,꿈풀
 문해전은 드릴 바로 아래 스탠스라고 보시면되요.. 기출변형 등 어려운 문제 매우 많습니다. ,2018.07.07. 10:12,20076348,TheRuin
 오우......제가 드릴이 너무 어려워서 미적 2를 건들지도못하는데 클맥 n제는 풀려고 해요.. 병행하기엔 심특이 더좋나요? 심화특강이 좀더 쉬운강좌인가요?? ,2018.07.07. 10:24,20076348,ㅠㅠㅜ
 와드박고갑니당 ,2018.07.06. 23:24,20075417,덕광
" 21이 30보다 어려워요,,? ",2018.07.06. 23:24,20075417,덕광
 저도 잘 모르겠어요.. 저 영상이 고2 고3대상 토크콘서트에서 나온거라서 ,2018.07.06. 23:25,20075417,서시대 도행21학번
 2학년이 알텍을 듣기에는 버거울거 같은데요? 생각의 질서니 시발점부터 시작하는게 맞을거 같네요 ,2018.07.02. 15:42,20061902,블루호프
 ㄱㅇㄷ..이죠 ,2018.06.28. 20:00,20048461,긍정적인태도
 각오 남기는거 어디다가 남기면 되나여?? ,2018.07.01. 21:22,20048461,샤대갈래
 개인적으로는 기벡이염 ,2018.06.24. 21:19,20040506,19학번 생화학지망
 역시 황밸... ,2018.06.22. 17:16,20034479,설의가가고싶어요
 가발쓰고 다닐듯ㅋㅋ 원빈이면돈벌어서 머리이식도 가능해보임 ,2018.06.22. 17:17,20034479,서울대카이스트컴공20
 ㅠ... 밸붕이었군 ,2018.06.22. 17:18,20034479,설의가가고싶어요
 빠지기전에 외모로 돈벌어서 머리심어야져ㅋㅋㅋ ,2018.06.22. 17:23,20034479,얼룩껄룩
 가발X 머리 못심는다고 가정 ,2018.06.22. 17:24,20034479,설의가가고싶어요
설의가가고싶어요 그럼.. 풍성충 할래요ㅋㅋㅋ ,2018.06.22. 17:25,20034479,얼룩껄룩
얼룩껄룩 빛-나는 머리와 얼굴 두가지를 가진 한석원 당신은 대체... ,2018.06.22. 17:26,20034479,설의가가고싶어요
 한석원 뭐지ㅋㅋㅋㅋㅋㅋㅋㅋ ,2018.06.22. 17:27,20034479,샤이니최민호
  ,2018.06.22. 17:31,20034479,윤사마스터
  ,2018.06.22. 17:31,20034479,윤사마스터
 닥후.. ,2018.06.22. 17:31,20034479,윤사마스터
 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이렇게보니까 맞네요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,2018.06.22. 17:33,20034479,설의가가고싶어요
 뉴런후기 이런식으로 수만휘에 서치해보세요 ,2018.06.20. 22:21,20030591,ㅓㅇㅁㅇㅏ
 그냥 에매하면 현우진 들어요 ,2018.06.20. 23:24,20030591,인도자
 헤어의 유무랄까요..? ,2018.06.21. 21:32,20030591,교육과어디든
 빡T나 현T나 강의력은 믿고들으셔도됩니다. 맛보기 들어보고 결정하세요!! ,2018.06.21. 21:33,20030591,교육과어디든
 쪽지확인해주세요! ,2018.06.28. 13:53,20030591,oh히로oh
 부정불가한 명강의 ,2018.06.19. 20:25,20028118,파파파파파피
 머리카락은 없지만 속은 꽉찼다는게 맞는말이네 ,2018.06.19. 20:33,20028118,우산이오
 아니 ㅋㅋㅋㅋㅋㅋㅋ 이분 ㅋㅋㅋ ,2018.06.20. 08:33,20028118,샤대갈래
 아니 이분 두번죽이시네 ㅋㅋㅋㅋㅋㅋ ,2018.06.25. 21:47,20028118,문송하는 문과생
 ㅇㄷ ,2018.06.21. 01:42,20028118,서울대기항21학번
 ㅇㄷ ,2018.06.21. 21:38,20028118,옷사주세요오
 좋은 자료 감사합니다.금일 수만휘 전체 공지로 지정되었습니다. ,2018.06.22. 18:42,20028118,수만휘
" ,ㅇㄷ ",2018.06.23. 00:00,20028118,나의꿈고려대
 뭔 내용이에요? 사이트가 안들어가져서 ㅜㅜ집가서 봐야하나 ,2018.06.23. 14:51,20028118,절편맛있다
 챙겨보기 ,2018.06.23. 15:08,20028118,수시로 대학간다
 봐야지 ,2018.06.23. 21:11,20028118,수도권제발
 ㅇㄷ1 ,2018.06.23. 22:37,20028118,연대정문부순다
 감사합니다 ,2018.06.24. 12:59,20028118,눈팅만하자
 ㅇㄷ ,2018.06.24. 16:25,20028118,더잘가자정신차려
 감사합니다 ,2018.06.24. 18:16,20028118,몽하
 와..명강의...감사합니다 ..ㅠㅠ ,2018.06.24. 21:18,20028118,19학번b성의대생
 아직도 메인에 보이나요?? 올린지 꽤 됐었는데 ㅋㅋㅋㅋㅋ ,2018.06.24. 22:13,20028118,외않헤
외않헤 저희가 확인한 날짜가 며칠되지 않아 지난주 금요일부터 안내중입니다. ,2018.06.26. 09:36,20028118,수만휘
수만휘 그렇군요 조회수1만 ㄷㄷ ,2018.06.26. 16:48,20028118,외않헤
 ㅇㄷ ,2018.06.26. 16:32,20028118,RATTI
 저도 고교시절에 잠시 봤던 추억이 ,2018.06.27. 13:14,20028118,왓슨크릭
 ㅇㄷ ,2018.06.27. 14:30,20028118,문창과20학번
 ㅇㄷ ,2018.06.28. 16:48,20028118,새내기초롱
 ㅇㄷ ,2018.06.29. 19:40,20028118,동국대젭알
 올어바웃아니고 알텍 아닌가욤ㅇㅂㅇ ,2018.06.18. 01:01,20024304,하연우
 혹시 어느부분이 안맞으신지 알려주실스있나요? ,2018.06.16. 19:44,20019657,공부좀하자젭알ㄹ
 뭔가 맥락이 없다고 해야하나..? 강의가 좀 산만한 것 같아서..ㅜ ,2018.06.16. 19:45,20019657,샤대19그라샤
 이창무 ,2018.06.16. 18:18,20019475,고정검무신
 어디쌤이에요? ,2018.06.16. 18:19,20019475,공부좀하자젭알ㄹ
 이창무쌤은 1등급정도 되는 학생들이 들으면 좋다고생각해요 ,2018.06.16. 18:32,20019475,기밥
 헐..ㅋㅋㅋ 현우진쌤 강의보다 어렵나요? ,2018.06.16. 18:33,20019475,공부좀하자젭알ㄹ
공부좀하자젭알ㄹ 우진쌤 드릴은 어렵지만 드릴제외하면 창무쌤이 조금더....? ,2018.06.16. 18:34,20019475,기밥
 우진쌤도 좋긴하지만 개념부분잡고 하려는거는 정승제쌤이 좋다고 하더라구요 ,2018.06.16. 18:33,20019475,기밥
 개념의신이랑 개때잡이 있는데 고2 정승제쌤 패스는 개념의신이고 고3 패스는 개때잡이더라구요 근데 수꼭필이 고3 정승제썀 패스에 있던데 .. 개때잡 들어도 되나요? ,2018.06.16. 18:33,20019475,공부좀하자젭알ㄹ
공부좀하자젭알ㄹ 보통 개때잡 많이 들어요 ,2018.06.16. 18:34,20019475,기밥
 한석원에 빠지면 헤어나올 수 없어요..지금 한석원강의 뿌리는걸로 아는데 함 들어보세요 ㅋㅋㅋ ,2018.06.16. 18:35,20019475,공부열심히할걸
" 이과면 현우진t 추천하는데 문과시면 모르겠네요. 현우진t는 수분감처럼 스튜디오에서 하는 강의에선 되게 조용하고 긴장하는 느낌이고, 뉴런처럼 현강생들 앞에서하는 수업은 재밌게 해요. ",2018.06.16. 18:39,20019475,띠티
 이과인데 현우진쌤은 상위권 애들한테 좋다고 하던데 .. ,2018.06.16. 18:43,20019475,공부좀하자젭알ㄹ
공부좀하자젭알ㄹ 3등급 정도 나오시면 바로 뉴런 듣는걸 추천합니다! 특히나 기벡은 현우진만의 스킬이 있어서 기벡만은 꼭 들으시는걸 추천합니다. ,2018.06.16. 18:45,20019475,띠티
띠티 글에 썼는데 제가 4등급이 떠서요 ㅠㅠ 4등급한틴 시발점 어렵다는 분들도 많던데 아닌가요?? 들을만 하나요 ,2018.06.16. 18:47,20019475,공부좀하자젭알ㄹ
"공부좀하자젭알ㄹ 괜찮을거 같아요.한 강의 듣는데 좀 오래걸리긴 할거같은데, 뉴런이 개념도 같이 정리해주니까 들어도 괜찮을거 같아요.뉴런 미적2, 기벡은 정말 추천합니다.(확통은 선택적으로..) ",2018.06.16. 18:50,20019475,띠티
"공부좀하자젭알ㄹ 시발점은 좀 비추합니다.차라리 뉴런 바로 들으시거나, 베이스 좀 쌓고 싶으시면 쉬운 개념강의 먼저 한번 싹 훑고 바로 뉴런하시는게 좋을거 같아요. ",2018.06.16. 18:52,20019475,띠티
 한석원이 정확하게 정석스타일이에요.개념만 들어도 제대로 개념잡히면 푸는것도 쉽게풀려요 안광지배철 한석원추 ,2018.06.16. 19:27,20019475,아그네시아
 정승제풀커리ㄱㄱ ,2018.06.16. 20:55,20019475,파워정시러 힘내자
 빠르다 ,2018.06.16. 00:29,20017803,콩근
 ㄹㅇ 대비에스인듯유사 공교육 ,2018.06.16. 00:30,20017803,고2 정시러
 몰라서그런데 어떤게 빠르다는거에요..? ,2018.06.16. 17:58,20017803,19경희국캠russian
" 라이브 끝난 게 12시 28분이었고, 이 내용이 라이브 끝났을 때 나온 건데, 1분 지난 29분에 대성마이맥이 게시글을 올려서 제가 빠르다고 한 거에용 ",2018.06.17. 02:03,20017803,콩근
 ㅋㅋㅋㅋㅋㅋㅋㅋ대비에스 ,2018.06.16. 19:03,20017803,limit88
 ㅋㅋㅋㅋㅋㅋㅋㅠㅠ ,2018.06.17. 03:18,20017803,백 야
 왠지 몇개댓글이 알바같냐 ,2018.06.16. 23:17,20017803,고쓰리에욥
 누구요?? ,2018.06.17. 02:05,20017803,콩근
 윤도영쌤♥️ ,2018.06.17. 03:17,20017803,윤 도 훈
 저는 다 듣고 다시 풀어봐요! ,2018.08.03. 16:00,20182383,dnwlsl
 문제 접근방식이 조금 다르긴한데1-2등급이면 괜찮아요. ,2018.08.03. 12:13,20181568,두 더지
 한석원이요!! ,2018.08.02. 23:18,20179783,12139
 감사합니다!! ,2018.08.03. 18:05,20179783,공부하자20
 파이팅 ,2018.08.03. 00:16,20179783,안녕안녕33
 미2 좋은데 ,2018.08.02. 22:28,20179422,한양대 ㄱㄷ
 친구가 다 들어봤는 데 현우진 미2가 약간 두리뭉실하게 가르친다고 해서.. ,2018.08.02. 22:49,20179422,중대공대가즈아
 한석원 이과 프리패스 완전양도로 팝니다010-이오00-삼구62 ,2018.08.03. 14:05,20179422,도개밍
 현우진 들었으면 드릴 ㄱㄱ ,2018.08.02. 21:47,20179212,공부의 미학
 대성패스를 사버려서.. ,2018.08.02. 21:49,20179212,용준아사랑해
" 알텍으로 가능하다고 생각함본인 부족한 부분은 좀더 집요하게 공부하는걸로하고, 알텍 ㄱㄱ지금 생각의질서부터 하기엔.. ",2018.07.28. 00:12,20153484,클루
 좋은생각인듯 ,2018.07.30. 23:02,20153484,이렇지않을까
 님말대로 안나눠도 상관 없습니다 경우를 나눠야 하는 경우는 최고차항을 양수로 맞췄는데 0보다 크다고 할 경우죠 ,2018.07.26. 23:04,20148773,Tim3
" 역시 그렇죠..?-1을 넣었을 때의 범위가 1을 넣었을 때의 범위에 포함되어서, 혹시 우연히 맞은건가 헷갈렸네요 ㅋㅋㅋ답변 감사합니다. ",2018.07.26. 23:17,20148773,4ae
4ae 헷갈리시면 그냥 반례 있나 대충 막 그려보시면 됩니다 뭐 2차함수가 그리기 어려운 것도 아니니... ,2018.07.26. 23:18,20148773,Tim3
 석원찡ㅋㅋㅋㅋㅋㅋ ,2018.07.26. 21:47,20148449,registered
 미친 짤ㅋㅋㅋㅋㅋㅋ ,2018.07.26. 21:47,20148449,지치는3년 행복한평생
    ,2018.07.26. 21:48,20148449,2019고대생
 물먹다뿜을뻔ㅋㅋㅋㅋ ,2018.07.26. 21:51,20148449,곰의신
 수학 3점 백문제4점 백문제모의고사 10회이걸 매일 한다! ,2018.07.26. 22:25,20148449,0쩜018
 빡쌤 피셜임 ...? ,2018.07.26. 22:20,20148449,두근두근설의설의
 아 빡t 개조아요 ♡♡ ,2018.07.26. 22:27,20148449,왼쪽발목
 알텍은 금방 끝나요 ,2018.07.25. 23:49,20144472,타코비
 알텍강의 되게많던데.ㅠㅠㅠ ,2018.07.29. 00:17,20144472,이렇지않을까
 최소 3회독은 해야 빛을본다 생각합니다 깐석원은 ,2018.07.29. 04:10,20144472,Nlk0012
 개념인강 다들어야해요??  생질에서 들은거라 뭔가 지루해서 넘기고싶은데ㅜㅜ ,2018.07.29. 14:33,20144472,내밥그릇내가해
"내밥그릇내가해 제가 생질은 안들어봐서 잘모르겠는데, 그래도 개념 2배속으로 해서라도 듣는걸 추천드립니다.중간중간 말해주시는 행동사항들(?) 이 도움이되서 ㅎㅎ ",2018.07.29. 16:41,20144472,Nlk0012
 두분 다 괜찮은 선생님 입니다.맛보기 들어보고 결정하세요.인강은 다른 사람이 듣는다고 따라 듣는게 아닙니다 ,2018.07.25. 00:33,20141042,19학번 갓
 무릎 16번 치고갑니다 ,2018.07.25. 00:35,20141042,물리1 전도사
 그렇겠네요!! 김성은t 저한테 잘맞다 생각중이었는데 주변에 다들 한석원 듣길래 흔들렸네요 감사합니다 ,2018.07.25. 00:39,20141042,인서울씹가능인가연
 ㅎㅌㅇㄱㅅㅇ ,2018.07.25. 00:42,20141042,아으아으아으을
 ㅎㅌㅇㄱㅅㅇ 갓갓 ,2018.07.25. 08:53,20141042,대학교프리패스
 문해전 푸는데 괜찮은거같아요 ,2018.07.26. 23:17,20139792,한체대가고픔
 준킬러는 어떻게 순삭하나요ㅠㅠ ,2018.07.28. 21:23,20139792,옷아랑
 글보니까 가형이신것같아서 제가 감히 말씀드리기가...좀 그렇네요 ,2018.08.01. 14:05,20139792,Just one
Just one 문제집추천해주세요ㅠㅠ ,2018.08.01. 18:04,20139792,옷아랑
옷아랑 전 기출문제집은 너기출로 했고 고쟁이도 풀었어요그리고 이번 수특 확통은 꼭 풀어보세요 ,2018.08.01. 18:28,20139792,Just one
Just one 감사해요ㅠㅠ ,2018.08.01. 23:35,20139792,옷아랑
" 한석원T 생각의 질서 다음에 알파테크닉도 있으니까 어렵지 않은 편이라고 생각됩니다. 다만 제가 수샘을 안 풀어봐서 정확히는 말씀 드리겠고, 2년 전에 풀어본거라.. 제 기억 상 수학의 정석 기본편 정도의 수준 혹은 그 이하였던것 같아요. 시간이 오래 걸리는건 아직 익숙치 않아서 그러실 수도 있어요. 화이팅! ",2018.07.21. 19:41,20126384,지똥22
 국어 1타 선생님 이름을 왜..? ,2018.07.16. 01:23,20106352,지나가던낭자
 존이 왜 없나요 ,2018.07.16. 01:25,20106352,샤대19그라샤
 로벤=한석원 ,2018.07.16. 01:53,20106352,나만불편한긔 응너만
 생질 ㄴㄴ 생질은 노베가 들어야하고 알텍들으에요 ,2018.07.15. 22:23,20105040,내밥그릇내가해
 저 가형4-5 인데 석원씨 듣는중 ,2018.07.14. 23:48,20101933,19고대이과
 아예쌩노베 정승제듣는데 0.8배속으로하면이해잘됩니다 ,2018.07.14. 23:50,20101933,종로도서관
 삭제된 댓글입니다. ,,20101925,
 김성은은 패스없어요.. ,2018.07.14. 23:43,20101925,미적뿐
 가능여 쪽지주세여 ,2018.07.15. 13:11,20096145,수의이
 빡모 = 풀다가 빡빡이되는모의고사전 좋았어요 근데 먼가 가형기준 확통문제가 준킬러로 좀 많았던듯 ,2018.07.10. 23:19,20088805,교대보내줘ㅠ
 좋아용 ,2018.07.10. 23:19,20088805,대문짝
 1. 3등급이하2. 생질에 나오는 거 알면됨3. 1~3등급4. 개인차 ,2018.07.10. 23:03,20088654,Agency2
 1은 사실상 개념서고2가 3등급이하3은 1~3 으로 보면 되나요? ,2018.07.10. 23:19,20088654,19한양대공대
19한양대공대 네 맞아요 ㅋㅋ 2에서도 개념해서 아예 노베만 아니시라면 바로 2가시는게.. ,2018.07.10. 23:23,20088654,Agency2
 1. 모든학생2. 3이하3.1등급4. 만점받으려는 자 ,2018.07.10. 23:44,20088654,한체대가고픔
 되도록 한 선생님 커리만 타세요 ,2018.07.08. 23:54,20082449,고정검무신
 그래야 될 것 같네요 ,2018.07.15. 21:14,20082449,고경190403
" 전 한석원샘 생질,알텍 다 있는데 개념서 또 있어요 보충용으로 ",2018.07.08. 23:30,20082076,히도라
 아그렇군요..후기보니까 생질듣고 바로 알텍은 무리라고해서 생질듣고 다른문제집 하나풀려고 하는데 혹시 추천하는거 있으신가요??? ,2018.07.08. 23:50,20082076,꿈풀
 2학기 플래너는 패스 구매 이후 첫 교재 배송시 함께 옵니다. 즉 교재 시키셔야 와용! ,2018.07.08. 22:38,20082041,skywithstar
 수강 신청은 홈페이지에 잘 나와있는데 일단 한석원쌤 강의 구매 누르시면 옆에 PASS/PAC 구매자는 누르는 칸이 있어요요즘은 거의 자동으로 그게 선택되더라구요..! ,2018.07.08. 22:40,20082041,skywithstar
skywithstar 아하그렇군요!!정말감사합니당 ,2018.07.08. 22:43,20082041,꿈풀
 6평  해설강의같은거들어보면서 결정하셈 ,2018.07.08. 18:06,20080952,연세산공19
 스킬 못써서 막히는 문제는 없는데요?.스킬 쓰다가 막히는 문제는 있어도 ,2018.07.08. 14:35,20080297,옼케이
 그렇군요 감사합니다앙 ,2018.07.08. 14:36,20080297,꿈풀
 개념으로도 충분히 풀립니다 미적분은...그치만 기벡은 또 다른거같아서 뉴런들었는데 만족했어요 ,2018.07.08. 14:45,20080297,연대 가즈아ㅏ
 ....ㅠ그럼 현우진을 들어야하나..방금전까지만해도 아몰라다됬고한석원!!!했는데 전체적으론 뉴런이 더낫다...고하셔서 ㅠㅠㅠㅠㅠㅠㅠㅠㅠ ,2018.07.08. 14:56,20080297,꿈풀
 들어보고 맞는게 최고임 그리고 정석이 최고의 스킬일 수 있어요 ,2018.07.08. 15:01,20080297,꽃과콜라
 꽃과콜라님감사합니다 ,2018.07.08. 21:45,20080297,꿈풀
 안광지배철.한석원! ,2018.07.08. 13:31,20080129,아그네시아
 현우진 ,2018.07.08. 13:44,20080129,아기고앵이
 일관된 풀이 선호:한석원다양한 풀이 선호:현우진 ,2018.07.08. 14:26,20080129,풍화격
 읍읍읍으로 들으세요 ,2018.07.07. 20:07,20077623,안녀영하세영
 그게뭔소리죠 ,2018.07.07. 20:09,20077623,꿈풀
 이건 딱 한석원인듯 ,2018.07.07. 20:09,20077623,흫헤
 오 감사합니다 ,2018.07.07. 20:10,20077623,꿈풀
 한석원이요 ,2018.07.07. 20:10,20077623,파파파파파피
 감사합니다!! ,2018.07.07. 20:10,20077623,꿈풀
 문해전은 드릴 바로 아래 스탠스라고 보시면되요.. 기출변형 등 어려운 문제 매우 많습니다. ,2018.07.07. 10:12,20076348,TheRuin
 오우......제가 드릴이 너무 어려워서 미적 2를 건들지도못하는데 클맥 n제는 풀려고 해요.. 병행하기엔 심특이 더좋나요? 심화특강이 좀더 쉬운강좌인가요?? ,2018.07.07. 10:24,20076348,ㅠㅠㅜ
 와드박고갑니당 ,2018.07.06. 23:24,20075417,덕광
" 21이 30보다 어려워요,,? ",2018.07.06. 23:24,20075417,덕광
