content,date,index,title,writer
내신때문에 계속 미루다가 이제야 교재 샀어요ㅜㅜ 미2랑 기벡 만요..  다음주에 책와서 바로 할건데 기출묹제집이랑 병행할려구요 크포는 못할거같구 알텍끝나면 실모풀랴고하거든요,2018.07.25. 22:32,20144472,한석원 알텍 다음주부커 할건데 늦너여?,내밥그릇내가해
누가 ㄱㅊ?,2018.07.25. 00:32,20141042,확통 김성은 한석원,인서울씹가능인가연
"킬러n제 신승범 최고난도 완전정복 1, 2, BTK, 킬코, 드릴, 포카칩n제 등등 생각하고있는데  가격은 상관없구 대성 쌤들 크포나 문해전 ㄱㅊ나요? 점수는 92-96 나오고준킬러까지는 순삭하는데 미적기출킬러를 아직 충실히 분석안해서 30번을 못풀어요 미적기출 제대로 할예정",2018.07.24. 21:11,20139792,한석원 크포 나형이나 이창무 문해전 나형 좀 들어보신 분들,Just one
푸는데 시간이 많이걸려서요ㅠㅠ 일반 개념서랑 비슷한 수준인가요?? 예를 들어 수샘예제문제정도수준인가요?ㅜ,2018.07.21. 19:23,20126384,한석원 생각의 질서 문제 수준 어느정돈가요??ㅠㅠ,꿈풀
전권 구할수있을까요?댓글 부탁드려요!!!,2018.07.19. 19:33,20118359,"한석원 생각의질서, 알텍",3333만
,2018.07.16. 01:19,20106352,음바페 그리즈만 포그바ㄷㄷ 수학으로치면 한석원 현우진 신승범,수능도twice
              모의만 치면 미적2에서 박살나서 개념강의랑 문풀 강의 들으려고 하는데 추천 좀            ================================,2018.07.15. 22:41,20105522,한석원 현우진,19올1등급
,2018.07.15. 22:18,20105385,지금시점에서 한석원쌤커리를 탈려면,내밥그릇내가해
                  패스는 따로 안끊고 생각의 질서라 알파테크닉 중 하나 선택하려고 하는데 두개 다 듣느게 좋나요?   ================================,2018.07.15. 21:22,20105040,한석원t 기벡이랑 미2 들을 건데 조언좀요,SkyTrian
                하위권 노베인데 뭐 들을까요?           ================================,2018.07.14. 23:44,20101933,기벡) 정승제 vs 한석원,미적뿐
                하위권 노베인데 뭐가 좋나요?         ================================,2018.07.14. 23:42,20101925,기벡) 정승제 vs 한석원,미적뿐
                          어렵나요?    ================================,2018.07.14. 12:43,20099865,한석원 실모 가형,마르고닳도록 공부
기벡 (상) 미적 (상) 필요해요ㅠㅠㅠㅠㅠ,2018.07.13. 01:31,20096145,한석원t 알텍 교재 대리구매 가능한 분 계신가요 ㅠㅠ,janicez
,2018.07.11. 22:42,20092298,진짜 한석원선생님 내스타일인디(고민),불꽃현타러
문제 어떤가요? 살까 하는데,2018.07.10. 23:17,20088805,한석원 실모 푸신 분들,거머리껌딱지마냥붙어
                한석원쌤 커리가  1.생각의 질서 2.알텍 3.크리티컬 4.실모  이던데 각각 몇등급을 위한 건가요 (모의고사기준)              ================================,2018.07.10. 22:51,20088654,한석원 커리가 각각 몇등급을 위한건가요?,19한양대공대
현우진 커리타고 있는 현역 문과입니다 뉴런은 거의 끝내고 여름방학때부터 드릴 시작하려고 하는데 1등급 굳히기에는 드릴만으로는 조금 부족한거같아서 한석원 크포나 이창무 문해전 병행하려고 하는데 별로인가요 아니면 드릴만으로 충분히 커버가능한가요ㅠㅠ??,2018.07.08. 23:53,20082449,현우진 한석원 이창무,고경190403
"한석원 생각의질서 교재를 살거면 다른 개념원리,수샘,정석 이런 개념서 안사도되나요????",2018.07.08. 22:44,20082076,한석원 생각의질서 교재사면 다른개념책 안사도되나요??,꿈풀
방금 한석원 패스샀는데 그럼 대성마이맥2학기플래너 오는건가요?? 왜배송중이런게없죠? 그리고 패스사서 수강신청은 어떻게하는거에요??ㅠㅠ,2018.07.08. 22:36,20082041,방금 대성 한석원 패스샀는데..,꿈풀
두 분 강의 중 어느 것이 나을까요? ? 맛보기로 두분꺼 들었을 때 별차이 없는 것 같아서....,2018.07.08. 18:01,20080952,(미적2 기벡) 현우진  한석원,루까꾸
                  약간 후기를들었을때 한석원은 정석대로풀이 강의가 정말 이해가 잘된다? 현우지는 현란한스킬 이라고 하는데 한석원t를 들으면 약간 그 수학개념은 확실히 이해할수있을진 몰라도 모고문제풀떄 갑자기 막히는게 있으면 어떡하지 스킬이 없어서 어떡하지 싶은데 어떡하죠 ㅠㅠ           ================================,2018.07.08. 14:32,20080297,한석원도 모고성적 잘오르나요??,꿈풀
"이과고2인데 방학틈타서 미1,확통을 수능칠수있는만큼 완벽히 끝낼려고합니다 (미2랑 기벡은 생각의질서만 들을려고요) 미1 확통이 개념은 다 알지만 아주완벽하다!고 할수있는건 아닌데요 걍 바로 알파테그닉ㄱ 아님 시발점부터다시들어라ㄱ  답좀부탁드릴게여ㅠ",2018.07.08. 13:34,20080145,한석원 알파테크닉 대상자가 누구죠??,꿈풀
이과1등급목표로 한석원/현우진 (현재고2.노베는아님.내신34) 당신의 선택은????????,2018.07.08. 13:28,20080129,이과1등급 한석원/현우진,꿈풀
일단 저는 개념파 완전 개념위주를 듣고싶구요ㅠ 왜냐면 현재 몇몇기억안나는 수1수2 같은 개념을 빠르게 확!실!히! 잡고싶기 때문입니다.. 문제푸는 스킬같은건..흠.. 개념을 일단잡아야  유용한거아니겠습니까?ㅠㅠ 그래서 개!념!만! 재밋는것도필요없어요..  그냥 진짜 잘가르쳐주시고 설렁설렁 말고 진짜 개념을 확 잡아주시는 선생님 누구 없을까요??,2018.07.07. 20:05,20077623,한석원vs정승제vs???ㅠㅠㅠㅠ,꿈풀
들어보신분 계세요???? 현우진 쌤 커리타는데 아직 뉴런이에요 현재 84점 2등급인데 미적2가 너무 약해서 병행하고 싶은데 추천부탁드립니다. 이창무선갱님 심화특강이나 문해전은 엄청어려운가요? 저그냥 미적2에서 3단원 4단원은 그냥 멍청이에요. 삼각함수랑 지수함수안나와있는 강의도 괜찮으니까 추천부탁드립니다.,2018.07.07. 10:11,20076348,이창무 현우진 한석원,ㅠㅠㅜ
                              ================================,2018.07.07. 09:43,20076315,님들아 내신 한석원형꺼 미적2 들어도되요?,불꽃현타러
나형도 있다고들었습니다기본개념강의 이름이 뭔가요문제강의말고 개념설명하는 강의요생각의 질서가 그런강의인가요?알파테크닉도 개념인가요?,2018.07.06. 23:52,20075557,한석원 강의요,수능미필자
,2018.07.06. 23:14,20075417,수학이 고민인 문과생들에게 한석원T의 일침(데이터주의),서시대 도행21학번
"안녕하세요지금 현재 고등학교 2학년 학생입니다제가 3학년때는 수학을 현우진 선생님과 한석원 선생님을 병행하려고 합니다그런데 지금 대성 패스가 있어서 그런데 2학년  때 알파테크닉을 듣고 3학년 때 다시 한번 들을까요 ,아니면 다른 선생님을 2학년 때 듣고 3학년때 한석원 선생님의 알파테크닉 강좌를 듣는게 나을까요?",2018.07.02. 15:29,20061902,한석원 알파테크닉,Giantbaby
물론 이번 시험 1등급만 ㅎㅎ전 받으러 갑니다 ,2018.06.27. 22:57,20048461,한석원  T 크포 실모 무료 빨리 받아가세요,정시로대학기기
"한석원은 미적 2, 학통, 기 벡터 중에 무슨 과목을 잘 가리키나요??",2018.06.24. 20:00,20040506,한석원,뒤늦게 공부
,2018.06.22. 17:15,20034479,한석원 모발+원빈 얼굴vs원빈 모발vs한석원 얼굴,설의가가고싶어요
,2018.06.22. 01:55,20033702,1등급 아닌 1등급인데 한석원 크포,꺙꽁낑꿍
"                               ================================  혹시 두 쌤들이 만드신 문제집들 수준에 차이가 있나요? 한석원쌤은 생각의질서, 알파테크닉 무슨 그리티컬 있었던 거 같고, 현우진쌤은 시발점 뉴런 수분감 드릴 있던 거 같더라고요. 문제집 수준 차이 있나요? 또 두 쌤들 강의 방식엔 어떤 차이점들이 있나요?                               ================================ ",2018.06.20. 22:01,20030591,한석원 현우진 차이,2021설대경제
https://youtu.be/XXNz-50CN0U꼭 보세요~흐트러진 마음잡는데 너무나도 도움돼요,2018.06.19. 20:19,20028118,한석원-수험생에게 D-150일이란?,외않헤
요번에 무료 풀린거 들을렸는데 뭐 들을까요? 고2입니다,2018.06.18. 00:53,20024304,한석원 올어바웃 미2 vs 기벡,미적뿐
현우진샘 확통 드릴 듣고있는데강의가 저랑 안맞는 것 같아서요..크포 들어보신분 계신가요??,2018.06.16. 19:41,20019657,현우진 드릴vs한석원 크포,샤대19그라샤
"모의고사는 4등급 정도 떠요1학년땐 2~3 정도 떴었는데 수1 수2 개념을 까먹으면서모의고사에 나오면 못풀겠더라구요 그래서 일단 정승제쌤 수꼭필 듣고 방학부터 미2를 시작하려고 하는데이과면 현우진이다 라는 글이랑 상위권을 위한 강의라는 글을 꼬ㅑ 봐서 제가 성적이 좋지않으니까 어려울까봐 고민이 되고 또 맛보기 강의 조금밖에 안듣긴했는데 좀 너무 조용종ㅎㅇ 나긋나긋 하신거같아서 지루할까봐 고민이에오 정승제쌤은 이비에스에서 확통 들어봤는데 재밌고 좋았어요 근데 정승제쌤은 이투스 프패끊어도 승제쌤 프패를 따로 끊어야해서 좀..고민되고이과생이면 1등급까진 무리라는 이야기도 들어서ㅜㅜ한석원쌤은 맛보기강의 들으니깐 괜찮은지 안괜찮은지 잘 모르겠어요 ㅋㅋㅋ뭔가 발성?? 발음??이 중독 되는거 같기도 한데 한강의만 들어봐선 잘 모르겠더라구요  ..,설명도 그냥 1강이라 그런가 다 비슷비슷 한거같구 ..현우진쌤을 하게되면 메가 프패를 끊을거고한석원쌤을 하게되면 대성 프패를 꾾을거고정승제쌤을 하게되면 걍 승제쌤 프패랑 이비에스를 할거같아요 ..,추천부탁드려요ㅠ ㅠㅠ",2018.06.16. 18:17,20019475,이과 수학 인강 한석원vs 정승제vs현우진,공부좀하자젭알ㄹ
"한석원쌤, 윤도영쌤의  이과 최상위 설명회 LIVE 모두 시청하셨나요?         LIVE가 끝나고 깜짝 공개 된  한석원 X 윤도영  개념 강좌 무료!!!!  개념을 좀 더 탄탄하게  다지기 위한 좋은 기회 입니다!  빨리 확인 GOGO!    > 강좌 받으러 가기<          ",2018.06.16. 00:28,20017803,[대성마이맥] 수학 한석원 X 과탐 윤도영 ★개념 강좌 무료★,대성마이맥
개념강의 다듣고 문제풀고 풀이듣나요 개념듣고 필수예제 듣고 엑서사이즈 풀고 풀이듣나요 다 듣고 문제 다시 풀어보나요,2018.08.03. 15:48,20182383,한석원 생질 공부할때,인서울가재이
두 선생님 차이많이날까요??,2018.08.03. 10:52,20181568,나형 현우진 뉴런->한석원 크포 힘들까요?,용준아사랑해
한석원t생각의질서vs현우진t시발점     삼각함수부터 들을거고 쎈이랑 병행할건데요 둘 다 맛보기들었을때 거슬리거나 그런거없이 두 분 다 괜찮으셔서 너무고민돼용ㅜㅜ    그리고 제가 앞부분은 배운 상태로 맛보기를 들어서 그런지 누가 더 이해가 잘 되나 이걸 모르겠더라구요  참고로 지금까지 수학공부는 그냥 동네학원에서 개념 한번 돌리고 교과서 쎈프린터위주로 내신시험대비만 했어용  ,2018.08.02. 23:15,20179783,미적2 개념강의 한석원vs현우진,공부하자20
                      제곧내 어떻습니까        ================================,2018.08.02. 22:47,20179586,1학년 중에 한석원 생질 듣는 분 계신가요?,Buddle
대성 프패 끊고 이창무 한석원 섞어 듣는 게 나을까요 아님 현우진 하나 듣는 게 나을까요? 원래 현우진 듣고 싶었는 데 젤 중요한 미2가 별로라고 해서 다시 고민하네요                           ================================,2018.08.02. 22:24,20179422,이창무+한석원vs현우진,중대공대가즈아
뉴런 미적2회독+확통1회독하고 9월들어가면 크포들을라하는데괜찮을까요? 등급은 3월이후 다1등급입니다,2018.08.02. 21:43,20179212,문과 현우진 뉴런->한석원 크포 괜찮을까요?,용준아사랑해
"개념강의 넘기면 안되요?? 그리고 막 3번씩 돌려보라고하는건 문재를 돌려보란거에여 강의를 돌려보란거에요? 그리고 엑써싸이즈, 수능문제 풀고 틀린거만 인강들어요 , 아님 다 들어요?? ",2018.07.30. 18:22,20164679,한석원알텍듣는분들,내밥그릇내가해
                  제가 작년 수능이후로 공부안하다가 6월말에 시작했는데 인강들을거면 알파테크닉 들어도 상관없나요? 알파테크닉에서도 개념 다설명해주겠죠? 생각과질서인가 그건 어떤가요? 작년 수능76점 올해7월81점 근데7월은 범위가 다안들어가서 나쁘지않게본듯요.. 뒷부분이 좀취약해서..ㅠㅠ            ================================,2018.07.28. 00:03,20153484,한석원 알파테크닉 듣는분들,이렇지않을까
"올해 알파테크닉 미적2에 있는 문제입니다.저 식을 대충 정리하면 이차 방정식이 나오고요, 그 이차 방정식이 항상 0보다 작을 때의 a값의 범위를 구하는 문제입니다.문제는 방정식의 대칭축이 정해져있지 않아(a에 관한 식으로 나와요) 어느 점이 방정식의 최솟값을 가지는지를 알 수 없다는건데요, 대칭축에서 가장 먼 점이 최솟값을 가질테고, sin cos값은 -1부터 1까지밖에 없으니까어차피 1 아니면 -1이 최솟값을 가지겠죠.그래서 저는 그 방정식에 1과 -1을 둘 다 때려박아서 조건을 만족하는 공통 범위를 구해 답을 구했습니다. 답도 맞았고요.그런데 방금 한석원 선생님 해설강의를 보니까, 대칭축의 위치가 -1보다 작을 때, -1과 1 사이에 있을 때, 1보다 클 때의 세 가지 경우로 나눠서 푸시더라고요. 제가 봤을 땐 경우를 나누지 않아도 문제가 없알 것 같은데, 혹시 꼭 경우를 나눠야하는 이유가 있나요? ================================ [필독] 답변 받은 후 질문글 무단 삭제시 강퇴처리가 됩니다 :  [필독] 비매너회원과 다투지 마시고, 게시판 중 가장 첫번째에 있는 '신고게시판'에 올려주시면 강퇴처리해 드립니다.# 수학 90점 이하 추천교재 #인강과 함께 보기 좋은 개념총정리용 수학교재 : ",2018.07.26. 22:42,20148773,꼭 한석원 선생님처럼 풀어야하나요?,4ae
현우진 : 드립치면 웃김한석원 : 그냥 보고만 있어도웃김엌ㅋㅋㅋㄱㅋㄲ 안뇽하십니깐석원입니당 오늘은..  함섹펙스를 ,2018.07.26. 21:46,20148449,현우진<<<<한석원인 이유 fact.,연카의
내신때문에 계속 미루다가 이제야 교재 샀어요ㅜㅜ 미2랑 기벡 만요..  다음주에 책와서 바로 할건데 기출묹제집이랑 병행할려구요 크포는 못할거같구 알텍끝나면 실모풀랴고하거든요,2018.07.25. 22:32,20144472,한석원 알텍 다음주부커 할건데 늦너여?,내밥그릇내가해
누가 ㄱㅊ?,2018.07.25. 00:32,20141042,확통 김성은 한석원,인서울씹가능인가연
"킬러n제 신승범 최고난도 완전정복 1, 2, BTK, 킬코, 드릴, 포카칩n제 등등 생각하고있는데  가격은 상관없구 대성 쌤들 크포나 문해전 ㄱㅊ나요? 점수는 92-96 나오고준킬러까지는 순삭하는데 미적기출킬러를 아직 충실히 분석안해서 30번을 못풀어요 미적기출 제대로 할예정",2018.07.24. 21:11,20139792,한석원 크포 나형이나 이창무 문해전 나형 좀 들어보신 분들,Just one
푸는데 시간이 많이걸려서요ㅠㅠ 일반 개념서랑 비슷한 수준인가요?? 예를 들어 수샘예제문제정도수준인가요?ㅜ,2018.07.21. 19:23,20126384,한석원 생각의 질서 문제 수준 어느정돈가요??ㅠㅠ,꿈풀
전권 구할수있을까요?댓글 부탁드려요!!!,2018.07.19. 19:33,20118359,"한석원 생각의질서, 알텍",3333만
,2018.07.16. 01:19,20106352,음바페 그리즈만 포그바ㄷㄷ 수학으로치면 한석원 현우진 신승범,수능도twice
              모의만 치면 미적2에서 박살나서 개념강의랑 문풀 강의 들으려고 하는데 추천 좀            ================================,2018.07.15. 22:41,20105522,한석원 현우진,19올1등급
,2018.07.15. 22:18,20105385,지금시점에서 한석원쌤커리를 탈려면,내밥그릇내가해
                  패스는 따로 안끊고 생각의 질서라 알파테크닉 중 하나 선택하려고 하는데 두개 다 듣느게 좋나요?   ================================,2018.07.15. 21:22,20105040,한석원t 기벡이랑 미2 들을 건데 조언좀요,SkyTrian
                하위권 노베인데 뭐 들을까요?           ================================,2018.07.14. 23:44,20101933,기벡) 정승제 vs 한석원,미적뿐
                하위권 노베인데 뭐가 좋나요?         ================================,2018.07.14. 23:42,20101925,기벡) 정승제 vs 한석원,미적뿐
                          어렵나요?    ================================,2018.07.14. 12:43,20099865,한석원 실모 가형,마르고닳도록 공부
기벡 (상) 미적 (상) 필요해요ㅠㅠㅠㅠㅠ,2018.07.13. 01:31,20096145,한석원t 알텍 교재 대리구매 가능한 분 계신가요 ㅠㅠ,janicez
,2018.07.11. 22:42,20092298,진짜 한석원선생님 내스타일인디(고민),불꽃현타러
문제 어떤가요? 살까 하는데,2018.07.10. 23:17,20088805,한석원 실모 푸신 분들,거머리껌딱지마냥붙어
                한석원쌤 커리가  1.생각의 질서 2.알텍 3.크리티컬 4.실모  이던데 각각 몇등급을 위한 건가요 (모의고사기준)              ================================,2018.07.10. 22:51,20088654,한석원 커리가 각각 몇등급을 위한건가요?,19한양대공대
현우진 커리타고 있는 현역 문과입니다 뉴런은 거의 끝내고 여름방학때부터 드릴 시작하려고 하는데 1등급 굳히기에는 드릴만으로는 조금 부족한거같아서 한석원 크포나 이창무 문해전 병행하려고 하는데 별로인가요 아니면 드릴만으로 충분히 커버가능한가요ㅠㅠ??,2018.07.08. 23:53,20082449,현우진 한석원 이창무,고경190403
"한석원 생각의질서 교재를 살거면 다른 개념원리,수샘,정석 이런 개념서 안사도되나요????",2018.07.08. 22:44,20082076,한석원 생각의질서 교재사면 다른개념책 안사도되나요??,꿈풀
방금 한석원 패스샀는데 그럼 대성마이맥2학기플래너 오는건가요?? 왜배송중이런게없죠? 그리고 패스사서 수강신청은 어떻게하는거에요??ㅠㅠ,2018.07.08. 22:36,20082041,방금 대성 한석원 패스샀는데..,꿈풀
두 분 강의 중 어느 것이 나을까요? ? 맛보기로 두분꺼 들었을 때 별차이 없는 것 같아서....,2018.07.08. 18:01,20080952,(미적2 기벡) 현우진  한석원,루까꾸
                  약간 후기를들었을때 한석원은 정석대로풀이 강의가 정말 이해가 잘된다? 현우지는 현란한스킬 이라고 하는데 한석원t를 들으면 약간 그 수학개념은 확실히 이해할수있을진 몰라도 모고문제풀떄 갑자기 막히는게 있으면 어떡하지 스킬이 없어서 어떡하지 싶은데 어떡하죠 ㅠㅠ           ================================,2018.07.08. 14:32,20080297,한석원도 모고성적 잘오르나요??,꿈풀
"이과고2인데 방학틈타서 미1,확통을 수능칠수있는만큼 완벽히 끝낼려고합니다 (미2랑 기벡은 생각의질서만 들을려고요) 미1 확통이 개념은 다 알지만 아주완벽하다!고 할수있는건 아닌데요 걍 바로 알파테그닉ㄱ 아님 시발점부터다시들어라ㄱ  답좀부탁드릴게여ㅠ",2018.07.08. 13:34,20080145,한석원 알파테크닉 대상자가 누구죠??,꿈풀
이과1등급목표로 한석원/현우진 (현재고2.노베는아님.내신34) 당신의 선택은????????,2018.07.08. 13:28,20080129,이과1등급 한석원/현우진,꿈풀
일단 저는 개념파 완전 개념위주를 듣고싶구요ㅠ 왜냐면 현재 몇몇기억안나는 수1수2 같은 개념을 빠르게 확!실!히! 잡고싶기 때문입니다.. 문제푸는 스킬같은건..흠.. 개념을 일단잡아야  유용한거아니겠습니까?ㅠㅠ 그래서 개!념!만! 재밋는것도필요없어요..  그냥 진짜 잘가르쳐주시고 설렁설렁 말고 진짜 개념을 확 잡아주시는 선생님 누구 없을까요??,2018.07.07. 20:05,20077623,한석원vs정승제vs???ㅠㅠㅠㅠ,꿈풀
들어보신분 계세요???? 현우진 쌤 커리타는데 아직 뉴런이에요 현재 84점 2등급인데 미적2가 너무 약해서 병행하고 싶은데 추천부탁드립니다. 이창무선갱님 심화특강이나 문해전은 엄청어려운가요? 저그냥 미적2에서 3단원 4단원은 그냥 멍청이에요. 삼각함수랑 지수함수안나와있는 강의도 괜찮으니까 추천부탁드립니다.,2018.07.07. 10:11,20076348,이창무 현우진 한석원,ㅠㅠㅜ
                              ================================,2018.07.07. 09:43,20076315,님들아 내신 한석원형꺼 미적2 들어도되요?,불꽃현타러
나형도 있다고들었습니다기본개념강의 이름이 뭔가요문제강의말고 개념설명하는 강의요생각의 질서가 그런강의인가요?알파테크닉도 개념인가요?,2018.07.06. 23:52,20075557,한석원 강의요,수능미필자
,2018.07.06. 23:14,20075417,수학이 고민인 문과생들에게 한석원T의 일침(데이터주의),서시대 도행21학번
"안녕하세요지금 현재 고등학교 2학년 학생입니다제가 3학년때는 수학을 현우진 선생님과 한석원 선생님을 병행하려고 합니다그런데 지금 대성 패스가 있어서 그런데 2학년  때 알파테크닉을 듣고 3학년 때 다시 한번 들을까요 ,아니면 다른 선생님을 2학년 때 듣고 3학년때 한석원 선생님의 알파테크닉 강좌를 듣는게 나을까요?",2018.07.02. 15:29,20061902,한석원 알파테크닉,Giantbaby
물론 이번 시험 1등급만 ㅎㅎ전 받으러 갑니다 ,2018.06.27. 22:57,20048461,한석원  T 크포 실모 무료 빨리 받아가세요,정시로대학기기
"한석원은 미적 2, 학통, 기 벡터 중에 무슨 과목을 잘 가리키나요??",2018.06.24. 20:00,20040506,한석원,뒤늦게 공부
,2018.06.22. 17:15,20034479,한석원 모발+원빈 얼굴vs원빈 모발vs한석원 얼굴,설의가가고싶어요
,2018.06.22. 01:55,20033702,1등급 아닌 1등급인데 한석원 크포,꺙꽁낑꿍
"                               ================================  혹시 두 쌤들이 만드신 문제집들 수준에 차이가 있나요? 한석원쌤은 생각의질서, 알파테크닉 무슨 그리티컬 있었던 거 같고, 현우진쌤은 시발점 뉴런 수분감 드릴 있던 거 같더라고요. 문제집 수준 차이 있나요? 또 두 쌤들 강의 방식엔 어떤 차이점들이 있나요?                               ================================ ",2018.06.20. 22:01,20030591,한석원 현우진 차이,2021설대경제
https://youtu.be/XXNz-50CN0U꼭 보세요~흐트러진 마음잡는데 너무나도 도움돼요,2018.06.19. 20:19,20028118,한석원-수험생에게 D-150일이란?,외않헤
요번에 무료 풀린거 들을렸는데 뭐 들을까요? 고2입니다,2018.06.18. 00:53,20024304,한석원 올어바웃 미2 vs 기벡,미적뿐
현우진샘 확통 드릴 듣고있는데강의가 저랑 안맞는 것 같아서요..크포 들어보신분 계신가요??,2018.06.16. 19:41,20019657,현우진 드릴vs한석원 크포,샤대19그라샤
"모의고사는 4등급 정도 떠요1학년땐 2~3 정도 떴었는데 수1 수2 개념을 까먹으면서모의고사에 나오면 못풀겠더라구요 그래서 일단 정승제쌤 수꼭필 듣고 방학부터 미2를 시작하려고 하는데이과면 현우진이다 라는 글이랑 상위권을 위한 강의라는 글을 꼬ㅑ 봐서 제가 성적이 좋지않으니까 어려울까봐 고민이 되고 또 맛보기 강의 조금밖에 안듣긴했는데 좀 너무 조용종ㅎㅇ 나긋나긋 하신거같아서 지루할까봐 고민이에오 정승제쌤은 이비에스에서 확통 들어봤는데 재밌고 좋았어요 근데 정승제쌤은 이투스 프패끊어도 승제쌤 프패를 따로 끊어야해서 좀..고민되고이과생이면 1등급까진 무리라는 이야기도 들어서ㅜㅜ한석원쌤은 맛보기강의 들으니깐 괜찮은지 안괜찮은지 잘 모르겠어요 ㅋㅋㅋ뭔가 발성?? 발음??이 중독 되는거 같기도 한데 한강의만 들어봐선 잘 모르겠더라구요  ..,설명도 그냥 1강이라 그런가 다 비슷비슷 한거같구 ..현우진쌤을 하게되면 메가 프패를 끊을거고한석원쌤을 하게되면 대성 프패를 꾾을거고정승제쌤을 하게되면 걍 승제쌤 프패랑 이비에스를 할거같아요 ..,추천부탁드려요ㅠ ㅠㅠ",2018.06.16. 18:17,20019475,이과 수학 인강 한석원vs 정승제vs현우진,공부좀하자젭알ㄹ
"한석원쌤, 윤도영쌤의  이과 최상위 설명회 LIVE 모두 시청하셨나요?         LIVE가 끝나고 깜짝 공개 된  한석원 X 윤도영  개념 강좌 무료!!!!  개념을 좀 더 탄탄하게  다지기 위한 좋은 기회 입니다!  빨리 확인 GOGO!    > 강좌 받으러 가기<          ",2018.06.16. 00:28,20017803,[대성마이맥] 수학 한석원 X 과탐 윤도영 ★개념 강좌 무료★,대성마이맥
