content,date,index,writer
 수1 삽듣고 수2는 신승범 ㄱㄱ. 3등급이면 수1 신승범꺼 완전비추;. 수2는 함수의극한빼곤 들을만할듯.(애들이 수열의극한배워서그런지 쌤이 계산쪽에선 너무 헐렁하게넘어감 ㅜ) ,2009.04.30. 22:45,3762157,보영남편
 그렇게 나눠서 들어도 괜찮은거야ㅠ.ㅠ? ,2009.04.30. 22:50,3762157,김제제
 벡터를 먼저해서 벡터있는 강의를 들을려고 했더니 삽자루쌤강의는 포물선부터이네...포물선은 이미 끝냈는데ㅠ^ㅠ ,2009.04.30. 22:51,3762157,김제제
 난 빡빡이안들어봐서 추천안한거라 ㅎ 빡빡이도 좋을꺼같아. 글구 신T벡터부분따로이슴. 글구 삽자루 수2는 별로라던데; ,2009.04.30. 23:00,3762157,보영남편
 헐..진짜?그럼 수1만 삽자루 들을까ㅠ^ㅠ...결제 따로하기 불편해서 그랬는데..쌤 달라도 공부하는데 상관은 없겠지? ,2009.04.30. 23:01,3762157,김제제
 응 ㅋㅋ 상관없어. ,2009.05.01. 00:33,3762157,보영남편
 적고보니열라기네..ㅋㅋㅋ ,2009.04.30. 21:08,3761919,우데쵸
 일단 난 고2이과생.개인적으로 신승범 좋아함<-일반고에서 내신 포기하겠다는 애들이 은근히 많이 보이는데내신 100%로 가겠다는 생각 말고 그냥 수시 1차 통과해서 논술 노리는게 더 쉬울걸?수능만 파겠다는게 그렇게 쉬운거 아니잖아.그리고 내신공부가 곧 수능공부라고 생각해.내신 바닥인데 모의고사 엄청 잘 치는 애들 봤어? 그런 경우 드물걸? ,2009.04.30. 21:09,3761919,탐포포
 그렇긴한데...논술준비는 언제해? 나 논술이라는거 이름만 들어본정도야진짜..ㅠㅠ ,2009.04.30. 21:15,3761919,우데쵸
 내신이랑 수능은같이가는거야ㅋㅋ ,2009.04.30. 21:11,3761919,윤군
 그랬으면 좋겠는데 진짜 내신 너무 힘드러.ㅠㅠㅠ 압박감쩔어 ,2009.04.30. 21:15,3761919,우데쵸
 논술은 일단 수능 쳐놓고 최저등급 만족시키는거 확인하고 시작해도 시간 충분하대우리학교같은경우에 수능 치고 난 다음에 학교에서 논술 수업하는데그렇게 해도 잘만 가더라 -ㅅ- ,2009.04.30. 21:16,3761919,탐포포
 아..........일단그래도 내신좀하긴해야게따 ㅠㅠㅠㅠ ,2009.05.01. 01:26,3761919,우데쵸
 나도 내신포기했어. 나 1학년때 내신 5~6등급나오는데 모의고사 1~2등급나와서 그냥포기.. 우리학교도 졸라쌔 비평준화라서..ㄱ- ,2009.04.30. 21:33,3761919,림아
 차이많이나네? ㅋㅋㅋ 열공하자!!우린평준환데도.. ,2009.05.01. 01:27,3761919,우데쵸
 이해력이 뛰어난 것..  ,2009.04.30. 20:11,3761667,계란
 암기력이 뛰어난 것은 이해력이 좋기 때문에... ,2009.04.30. 20:11,3761667,계란
 천재... 뇌에서 투컴을 돌리는거 아닐까나. 아무튼 쩌는거. ㅇㅇ ,2009.04.30. 20:11,3761667,타마
 천재는  추리력이 좋은거지         ,2009.04.30. 20:11,3761667,데톨
 헐랭 태그봨ㅋㅋㅋ ,2009.04.30. 20:12,3761667,Via Lactea
 태그 ㅋㅋㅋㅋ ,2009.04.30. 20:13,3761667,유비키리
 내 기준에는 남들하고하는건 똑같은데 효과나 성적은 개노가다한사람보다 뛰어난경우 ,2009.04.30. 20:15,3761667,for dream
 메가스터디 박금우것 들어보세요^^ ,2009.04.29. 20:52,3758451,동산
 어느정도 선생님 추린 다음에 질문하는게 좋긴 해요박금우 선생님도 괜찮고 삽자루도 괜찮은데근데 인강을 통해 어느정도 개념 잡고그것보다 한 3배 이상은 스스로 문제풀면서이런 저런 문제 유형에서 응용해보는게 중요한것 같아요좋은 참고서랑 문제집 병행하면서강의 수강하시구요추천 받은 다음에는 꼭 맛보기 보고 결정하시는게 좋아요냐랑 잘 맞는 선생님인지 확인하는게 필수니깐욧 ,2009.04.30. 10:55,3758451,수능만점gogo
 갠적으로는 한석현 곽기호 추천 ,2009.04.30. 16:36,3758451,귤따러가세
 애니스터디 수리영역반에 폴수학 전강좌 볼 수있음.... 단돈 4만원에 ㅎㅎㅎㅎ ,2009.04.30. 22:14,3758451,울산학생
 나도 얼마전 고민하다가 박금우쌤꺼 듣기 시작했음^^ 매트릭스 개념편~ 저는 박금우선생님강의가 진짜 좋은것 같아요..ㅠㅠ 왜이제서야 금우쌤을 알게됬는지...!! 맛보기 들어보고 선택하는것이 가장 후회없음 ~  ,2009.05.01. 23:08,3758451,sohot
 베캠 비추 정 한석원 듣고싶으시면 알텍추천할게요 하지만 한석원듣는건 별로 ,2009.04.29. 00:19,3756351,꽃탱
 어떤면에서 쩌신다는건지;;ㅋㅋ  친구들은 알텍수2가 엄청좋다던데..아우 어쩌지. ,2009.04.29. 00:27,3756351,미치르
" 계획을 좀 자세히 하다보니 길게됬네요 ㅠ 끝까지 읽어주셔서 감사하구요 !쏀수학은 일단 개념 확인차로 결정한건데...그래도 바꾸는게 나을까요?6월달 중순까진 개념 정말 확실히 다질거고,그 이후는 단원별 모의로 풀어나갈지 아님 모의고사 1회분(전범위)를 풀어나갈지 고민중이거든요.계획 수정하는게 좋을까요? ",2009.04.29. 00:05,3756257,tmddud8745
 외국어는 듣기만 다 맞아주셔도 3~4등급은 되시겠네요. 뭐..정 음악을을땐 팝이라던지 그런걸 들으시면서 영어를 좀 익숙하게해주셔요.  ,2009.04.29. 09:04,3756254,목포재수생
 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ업뎃되서더웃곀ㅋㅋㅋㅋㅋ  ,2009.04.28. 12:57,3754116,성군
 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,2009.04.28. 19:28,3754116,강한남자
 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,2009.04.28. 21:42,3754116,독수리타법
 ㅠㅠ 아는 선생님이... 삽자루하고 강민성밖에 없다;;;ㅠㅠㅠㅠㅠㅠ난 니들 따라 웃으야지ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,2009.04.28. 23:00,3754116,화양연화
 아 정지웅 ㅋㅋ안옴 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,2009.04.29. 03:46,3754116,gsjh1812
 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,2009.05.01. 10:48,3754116,손바닥
 강필 ㅋㅋ ,2009.05.01. 16:22,3754116,멋저브러
 외지웅이랑 용재쌤에서 빵터졌어 ㅋㅋㅋㅋㅋㅋ ,2009.05.03. 08:28,3754116,육식동물
 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,2009.05.03. 17:10,3754116,아이잉
 손주은이랑 한석원 대박 ㅋㅋㅋ 계산실수 ㅋㅋㅋㅋ ,2009.05.04. 23:26,3754116,지식
 헐ㅋㅋㅋ ,2009.05.13. 22:28,3754116,study134
 벼룩뭐야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ,2009.05.15. 20:07,3754116,컴일
 다른건 다 웃긴데 강민성 좌파어쩌구는 좀 짱난다 ㅡㅡ 어떤 개념없는 놈이 쓴거냐 ,2009.06.13. 20:06,3754116,혁사마
" 인강 듣기 전에 미리 풀어보고 듣고 나서 복습하고 필수죠 필수... 외국어는 특히나 미리 풀어보는게 많이 도움이 되는 거 같습니다. 제가 윤정호 선생님 수업 들을 때도, 미리 다 풀어보고 듣곤 했었음  ",2009.04.29. 13:48,3753878,짱짱아
 혼잣말하다가 존댓말ㅋㄷ귀여움저기근데 한석원T 저런 모의고사 해설강의 어디서봐요? ,2009.04.27. 21:44,3752822,율리시스심슨그랜트
 티치미에 있던데요 ㅎㅎ 잘 찾아보셈... ,2009.04.27. 21:45,3752822,마빈박사
 덜덜... ,2009.04.27. 00:50,3751190,곰탱
 ㅋㅋㅋㅋㅋㅋㅋㅋ ,2009.04.27. 00:51,3751190,카나마 푸탄 씨털후
 한석원보단.... 삽자루나.. 아니면.. 비타에듀에 누구더라 ;;; 아 뭐지 아ㅓㅁ리ㅏㄷ넘ㄹ  뭐더라 ... 이 사람 수리강의 한표 ~* 저도 삽자루 듣고잇지만.. ㅎ 괜찮은거같네요 ㅎ  ,2009.04.26. 23:58,3750895,푸들놈
 ㅋㅋㅋㅋㅋ언제나 승범쌤 ,2009.04.26. 22:57,3750507,너구리
 눈썹왕자꺼 들으세요 ㅎㅎ ,2009.04.26. 23:12,3750507,ckddlf132
 두분다 잘해요 암거나 들어도 무관해요 ,2009.04.26. 23:52,3750507,Specialist
 강필 ,2009.04.27. 15:23,3750507,멋저브러
 큐스터디 권태원샘 개념강의 본좌라고 생각하는 1ㅅ ,2009.04.27. 17:56,3750507,takeit
 난.....외국어........ 기냥 싸게싸게 이비에스 이지민샘꺼 들으려구....ㅠ_ㅠ 비상에듀가신 이지민쌤 ㅠ_ㅠJM!!!!!!ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ ,2009.04.26. 22:16,3750271,율
 박승동지피지기로정했어여 개념부터가 쓰레기라 전 ㅋㅋㅋ이번엔 꼭 1등급쟁취해야죠 저번에 공도 벡터 심미 다틀려서 73점나왔으니 ,2009.04.26. 20:07,3749524,음메에에에
 박승동도 .쉬운스타일은 아닌거같던데 ,2009.04.26. 20:11,3749524,언수외원점백
 ㅇㅇ 박승동쌤도 난이도높은걸로 아는데..? ,2009.04.26. 22:31,3749524,cnet12
 한석현 구주나 곽기호 ㄱㄱ싱 ,2009.04.27. 15:45,3749524,귤따러가세
 신승범...............................문제풀이 강훈련도 좋고 그거듣고도 안심이 안되면 약체까지 고고싱 ,2009.04.26. 18:05,3749285,쏘쏘핫
 ... 이렇게 인강 들어서 1~2등급 왔다갔다 하는 애들이 다 확실히 1등급으로 굳어지면 나도 할텐데 ㅠㅠ... 왠지 돈만 많이 드는 느낌... ,2009.04.26. 18:05,3749285,크억
 한석원좋아 신승범싫어쓰레기!!!!!!!!!! ,2009.04.26. 18:07,3749285,윙가르디움레디오우사
 신승범 약체는 서울대합격생들도 공부하면서 엄청어렵게햇대 ㅋㅋㅋ 나 참고로 현강듣는데난 3등급이라 약체는 안들을려고 ㅋㅋㅋ 이과 1~2등급이면 약체 열심히 해서 1등급 상위권굳힐수잇겟다!! 화이팅  ,2009.04.26. 18:13,3749285,cth03
 알텍을 완벽히 하기 전까지 건들면 안되는 강의 ,2009.04.26. 17:11,3749077,윈윈
 크리티컬은 약점공략강의... 절지는 파이널강의..알텍보다 크리가 좋다는 사람도 꽤 봤음 ,2009.04.26. 17:21,3749077,mysys0683
 ㅋㅋㅋ 내생각엔 지금 니 성적이 어느정도인지도 모르고 ㅋㅋ니가 하고있는 커리큘럼 함부로 빼라마라할 그런것은 남이 해줄게 아니라고봄 ,2009.04.26. 17:04,3749045,스펙타클
 나 언3 수1.5 외2 화1.5 생1.5 지1 화2 3 ,2009.04.26. 17:05,3749045,히포
 내가 알기로 저거 다 들으면 재수 하겠다  ,2009.04.26. 17:08,3749045,별명
 와 어케다들어.. ,2009.04.26. 17:00,3749020,보리
 세이아/ 텝스 듣기랑 단어 땜에 할려고보리 / 나 인강족이야 ,2009.04.26. 17:00,3749020,히포
 음... 여자가 해사수송오려면 공부 정말 잘해야해요.....열심히 하세요  ,2009.05.18. 19:53,3747428,mignonne1022
" 저도 그러더군요,,고3 때는, 1을 달린 수리점수가, 4월 전국과 22일 종로평가를,,,,,,,, 털렸어요 ㅋㅋ다들 낮게 나온것 같으니, 점수를 생각하지 마시고, 본인이 하던 공부를 계속 하시는게 좋을것 같네요, ",2009.04.25. 19:48,3742604,신아
 근데.. 외국어 급한불부터 끄려면 지금 독해 하는게 낫지 않을까요.. ,2009.04.24. 22:37,3742020,빅뱅v
 그리고 목표가 어디죠..? ,2009.04.24. 22:38,3742020,빅뱅v
" 제가 외국어가 많이 부족해서요.... 일단 영문법 하고있고,,,영어듣기는 마더텅 35회 어쩌구 듣구 있구요,,,아무튼 미친듯이 해서 목표는 경희대,,,,,,너무 높게 잡은듯 하지만 가장 가고 싶은 곳이라서요,,,, ",2009.04.24. 22:50,3742020,절대절명
 한석원샘 ,2009.04.25. 07:46,3741261,fosejagk
" 전 동네 서점에서 샀었는데 몇년전이라,, 지금은 있는지,,, ",2009.04.24. 16:45,3741134,FeelSoGood
 전 학교앞서점에서샀었고 티치미에서 사도 그냥 전공과목듣는데 필요해서 간단히 개념정리만 된 책샀다고하면 충분한 핑계거리가 되지않겠음? ,2009.04.24. 14:52,3741134,명왕성
 택배물을 편의점에 맡겨놓고 찾아가는것도 있잖아요.. ,2009.04.24. 15:41,3741134,MayBee
 이거교재다운받을수도잇어요 그 티치미사이트에서~ ,2009.04.27. 02:05,3741134,거부기
 아 ㅈㅅ ,2009.04.24. 00:21,3740359,허뤼허뤼
 슬슬풀리면 3등급이겠습니까;;허허;;;;;   ,2009.04.24. 00:22,3740359,허뤼허뤼
 그해난이도에따라다르겟죠..인강에너무의존하지맙시다~ ,2009.04.23. 23:50,3740212,스타못해
 수능의핵 괜찬을듯 .ㅋ.ㅋㅋ 알텍좀어렵죠 ㅎㅎ ,2009.04.22. 20:20,3737687,막말장어
" ㅇㅇㅇㅇㅇㅇ아맞아여 수능의핵이였음!!!!!!!!!수능의핵은좋았는데..제머릿속에 지우개가 들었나봐요ㅋ/ㅋ/ㅋ/ㅋ/ㅋ...........ㅋ.ㅋ.ㅋ.......돌리고 돌려도 항상 새로움,...ㅋ.ㅋ.ㅋ.. ",2009.04.22. 20:21,3737687,다시
 몇등급나오는데요 ?? 3~4면 알텍괜찬을텐데 .. ,2009.04.22. 20:22,3737687,막말장어
 보통3~4인데........................알텍이안되는전ㅄ인가봐여^^헤헤..이젠새롭지도않음..문제를풀때마다제가ㅄ같음.........그래도수리는좋고.......수리에대한열망은가득한데 머리가안따라주네요.나원참ㅋㅋㅋㅋㅋㅋㅋㅋ굳이따지자면 선생님들 풀이하시는거는 대부분아이들보단 빨리 이해합니다. 풀이하면 아~저렇구나 이렇게 바로바로 되는데 혼자 풀기가 안되요.........ㅠㅠ..풀이보면 헐ㅡㅡ이거였다니.....하면서 하는부분이 너무많아요. 실력이있는건 아는데 그래도 아는것보다 훨씬 더 혼자못푸니까..답답하네요 정말.. ,2009.04.22. 20:25,3737687,다시
 삭제된 댓글입니다. ,,3737687,
 수학은 정말 다좋아해요. 정말!! 어느부분이 좋다! 이게아니라.. 문제 풀면 짜릿짜릿한 느낌이오고 또 일단 답이 확실하잖아요ㅠㅠ 다른과목처럼 뭐 이거인것같기도하고 저거인것같기도하고 이런 애매한부분이 없으니까..그게 최고의 매력인데.. 굳이 따지자면 함수부분이 어려워서 좀 힘들기도하고@.@ 다른부분은 다 비슷하게 어려운데..........결론은 다좋아요!!!!!!!!!!!!!!!!!!!!!!!!!!!ㅎ링힝히ㅣ히힝히이히이힝 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ  ,2009.04.22. 20:26,3737687,다시
 삭제된 댓글입니다. ,,3737687,
 잉..제목은..센스에염..보고 들어오시라구ㅋ.ㅋ.ㅋ.............사실 저도 이사실 고3때 알앗답니당수능의 수학이 그 수리가 아니더라구여.. ,2009.04.22. 20:27,3737687,다시
 제목이 매력있는데요 ㅋㅋ ,2009.04.22. 20:27,3737687,봄날은간다
 아잉*.* ,2009.04.22. 20:27,3737687,다시
 삭제된 댓글입니다. ,,3737687,
 저도난감합니다.. ,2009.04.22. 20:27,3737687,다시
 개념강의를 좀 더 쉬운것으로 들으시는게 어떨까요? 알테가 개념강의 중에선 어려운 편이죵 ,2009.04.22. 20:29,3737687,봄날은간다
 그럼 개념강의 더 쉬운걸 춪현해주시고 가야져..이렇게 가시면......ㅠㅠㅠㅠ ,2009.04.22. 20:30,3737687,다시
 삽자루t가 쉽다고 들었어요. ,2009.04.22. 20:36,3737687,봄날은간다
 봄날은간다님 말씀처럼 삽자루 괜찮을듯 ,2009.04.23. 22:03,3737687,올덴
 로피탈은 진짜모르는게나은듯.. 독이될수도있어 ㄷㄷ ,2009.04.22. 20:07,3737664,신스
 나도 로피탈 몰라도 문제 다 풀기는 하는데...  다른 애들은 다 아는데 나만 모르니까 쫌 그래서... ㅜ ,2009.04.22. 20:08,3737664,mysys0683
 근데 진짜 왠만한 인강에선 거의 로피탈 안알려줌ㅜㅜ 모르는게 낫긴한데 그래도 빠른 계산을 위해서......전 EBS에서 로피탈 들엇음 박상준쌤 ,2009.04.22. 20:09,3737664,Disney
 로피탈의정리 그냥 함수극한값구할때 위아래 각각 미분하는거야 그게끝 단조건은 0/0꼴일때만조건때문에 모르는게 낫다고그러던데 ,2009.04.22. 20:09,3737664,신스
 Disney//  박상준샘??  찾아볼께여 ㅜ  ㄳ ,2009.04.22. 20:12,3737664,mysys0683
 삽자루는 쓰라고 막  강조하던데  ,2009.04.22. 22:50,3737664,토니
 난 박금우t ㅊㅊ 수열이나 극한쪽은 금우쌤 기하적으로 접근하는 거....쩌러요....!! 수2는 공간쪽이랑 벡터에서 무엇보다 금우쌤 그림 너무 잘그리셔..ㅜㅜ 그래프의 달인같아요...  ,2009.04.21. 23:13,3735652,수학천재님
" 난, 인강은 하나도 안들어봐서 ㅜㅜ  맨날 학원만 다니다가 재수시작하면서는 계속 혼자만 공부하는데... 근데 박금우쌤이 글케 좋아?? 울동네에 학원생기는거 같길래....가볼까 해서말이지...재수생도 받아주나 근데..ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ ",2009.04.22. 20:13,3735652,윤서야
 역시 박금우샘으로해야하나 수2본좌 한석원샘이라길래 ㅋㅋ.. ,2009.04.22. 22:42,3735652,샤쭈님
 나는 금우쌤 수업 좋은데..완전 팬이야..♡ 한석원쌤꺼도 맛보기 들어봐 ~난 한석원쌤껀 맛보기 보고 나랑은 별로인거 같았거등~어짜피 자기한테 맞는 강사가 짱인게지^^ 나한테 금우쌤처럼~ ,2009.04.23. 01:57,3735652,수학천재님
 부럽다. 자퇴...나도 자퇴하고 싶은데...ㅠㅠ  ,2009.04.20. 23:08,3732815,키루
"   엥 ,, 자퇴가부럽다니 헐       학교친구들 ㅅ싫은가,,,, ",2009.04.22. 22:13,3732815,바보사탕
 삭제된 댓글입니다. ,,3732815,
 마자염 ㅋㅋ  ,2009.05.16. 15:14,3732815,ㅁㅁㅁㅁㅁㅁㅁㅁㅁㅁ
 자퇴라?? ㅋㅋ  ,2009.05.16. 15:13,3732815,ㅁㅁㅁㅁㅁㅁㅁㅁㅁㅁ
 인강에 너무 비중을 두는것이 아닌가 인강에 버금가는 충분한 복습시간도 필요하다고 생각함 ,2009.05.27. 23:15,3732815,닥공
 알텍 들어도 무난 ,2009.04.19. 22:11,3731085,윈윈
 아 진짜 ??  상위권애들이 듣는거라던대ㅔ ? ,2009.04.19. 22:11,3731085,emem369
 삭제된 댓글입니다. ,,3731085,
 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ저도 50인데 듣는중  ,2009.05.27. 23:16,3731085,닥공
 기본적으로 2번씩은 풀어봐야 자기꺼댐 ,2009.04.23. 22:52,3731085,멋저브러
 삽자루삽자루삽자루 ,2009.04.19. 21:19,3730687,쁨
 삽자루삽자루삽자루 ,2009.04.19. 21:19,3730687,중대신방
 저중엔 삽자루가 젤나은것같음 난폴수학듣지만 ,2009.04.19. 21:19,3730687,우월한싴빠
 한석원한석원한석원 ,2009.04.19. 21:20,3730687,ㄲㄲ
 좋아하고 잘맞는 강사는 삽자루 뿐인데 왜 점수가 안오를까 1人  ,2009.04.19. 21:23,3730687,몽상가
 부럽다ㅠㅠ 문과로 돌렸는데 60인 1인 ,2009.04.19. 19:39,3730119,계란
 신승범쌤 강추 ㅋㅋㅋㅋ근데 한석원샘도 괜찬아 ㅋㅋ근데 갠적으로 난 승범쌤ㅋㅋ박승동샘은 좀..ㅋㅋㅋㅋ ,2009.04.19. 19:40,3730119,너구리
